symbol,div_type,winner_source,winner_avg_r,loser_source,loser_avg_r,reason
ROSEUSDT,HID_BULL,bear_tested,1.107,bull_tested,0.2218,"higher avg_r (1.107 vs 0.222), bear_tested over bull_tested"
ROSEUSDT,REG_BULL,all_weather,0.5064,bull_tested,1.625,tier 0 (all_weather) beats tier 1 (bull_tested)
ROSEUSDT,REG_BULL,all_weather,0.5064,bear_tested,0.2286,tier 0 (all_weather) beats tier 1 (bear_tested)
RVNUSDT,REG_BULL,bull_tested,1.6412,bear_tested,0.545,"higher avg_r (1.641 vs 0.545), bull_tested over bear_tested"
SAFEUSDT,REG_BULL,bull_tested,1.3833,bear_tested,0.36,"higher avg_r (1.383 vs 0.360), bull_tested over bear_tested"
SIRENUSDT,HID_BULL,bear_tested,2.4305,bull_tested,0.424,"higher avg_r (2.431 vs 0.424), bear_tested over bull_tested"
SKLUSDT,HID_BULL,bear_tested,2.0443,bull_tested,0.6571,"higher avg_r (2.044 vs 0.657), bear_tested over bull_tested"
SOLAYERUSDT,HID_BEAR,bear_tested,1.8086,bull_tested,0.3736,"higher avg_r (1.809 vs 0.374), bear_tested over bull_tested"
SOLUSDT,HID_BULL,bear_tested,0.705,bull_tested,0.6748,"higher avg_r (0.705 vs 0.675), bear_tested over bull_tested"
STGUSDT,REG_BEAR,bull_tested,1.1857,bear_tested,0.7117,"higher avg_r (1.186 vs 0.712), bull_tested over bear_tested"
SUNUSDT,REG_BEAR,bull_tested,0.628,bear_tested,0.3014,"higher avg_r (0.628 vs 0.301), bull_tested over bear_tested"
SUSHIUSDT,REG_BULL,all_weather,0.4562,bull_tested,2.1,tier 0 (all_weather) beats tier 1 (bull_tested)
TRUMPUSDT,HID_BEAR,bear_tested,2.1955,bull_tested,1.5018,"higher avg_r (2.196 vs 1.502), bear_tested over bull_tested"
TRUUSDT,HID_BEAR,all_weather,0.3463,bear_tested,1.3296,tier 0 (all_weather) beats tier 1 (bear_tested)
TRXUSDT,REG_BEAR,bull_tested,1.94,bear_tested,0.2843,"higher avg_r (1.940 vs 0.284), bull_tested over bear_tested"
TWTUSDT,REG_BULL,bull_tested,2.4125,bear_tested,1.9133,"higher avg_r (2.413 vs 1.913), bull_tested over bear_tested"
VVVUSDT,HID_BULL,bear_tested,3.242,bull_tested,1.8791,"higher avg_r (3.242 vs 1.879), bear_tested over bull_tested"
WIFUSDT,HID_BEAR,all_weather,0.3384,bear_tested,1.742,tier 0 (all_weather) beats tier 1 (bear_tested)
WLDUSDT,HID_BULL,bear_tested,1.1871,bull_tested,0.4271,"higher avg_r (1.187 vs 0.427), bear_tested over bull_tested"
XRPUSDT,HID_BULL,bear_tested,5.52,bull_tested,0.5014,"higher avg_r (5.520 vs 0.501), bear_tested over bull_tested"
XTZUSDT,REG_BULL,bull_tested,0.9591,bear_tested,0.4667,"higher avg_r (0.959 vs 0.467), bull_tested over bear_tested"
