symbol,div_type,atr,rr,train_trades,train_r,train_wr,test_trades,test_r,test_wr
NAORISUSDT,REG_BEAR,1.0,2.0,17,6.15,47.1,5,0.73,40.0
NEWTUSDT,HID_BEAR,1.0,10.0,44,17.66,13.6,13,7.59,15.4
NOTUSDT,REG_BEAR,2.0,6.0,20,7.06,20.0,12,1.41,16.7
OMUSDT,REG_BEAR,1.5,8.0,26,17.3,19.2,8,9.49,25.0
OMUSDT,HID_BEAR,1.5,6.0,55,11.67,18.2,13,21.12,38.5
ONDOUSDT,HID_BEAR,1.0,9.0,47,38.41,19.1,14,14.58,21.4
ONTUSDT,HID_BEAR,1.5,10.0,42,31.9,16.7,14,17.98,21.4
OPUSDT,HID_BEAR,1.0,9.0,48,28.15,16.7,11,7.91,18.2
ORDERUSDT,REG_BEAR,1.0,9.0,18,20.4,22.2,8,1.46,12.5
ORDERUSDT,HID_BEAR,2.0,5.0,58,23.68,24.1,21,14.06,28.6
PAXGUSDT,HID_BULL,2.0,10.0,58,70.09,24.1,29,22.93,20.7
PENDLEUSDT,HID_BULL,1.0,7.0,42,10.67,16.7,15,7.76,20.0
PENGUUSDT,REG_BULL,1.0,7.0,23,39.68,34.8,4,3.71,25.0
PENGUUSDT,REG_BEAR,1.0,2.0,15,1.84,40.0,9,8.36,66.7
PENGUUSDT,HID_BEAR,2.0,2.0,54,13.23,42.6,20,0.18,35.0
PIPPINUSDT,REG_BULL,2.0,8.0,19,7.38,15.8,8,0.88,12.5
PIPPINUSDT,HID_BEAR,2.0,7.0,46,16.79,17.4,12,3.7,16.7
PNUTUSDT,HID_BULL,1.0,6.0,29,11.22,20.7,5,8.67,40.0
POLUSDT,REG_BEAR,2.0,8.0,28,24.34,21.4,8,18.61,37.5
POLUSDT,HID_BEAR,2.0,9.0,43,44.59,20.9,17,22.04,23.5
PONKEUSDT,REG_BEAR,2.0,1.5,25,14.22,64.0,7,2.75,57.1
POPCATUSDT,REG_BEAR,1.5,6.0,32,15.83,21.9,8,5.58,25.0
PUMPFUNUSDT,REG_BEAR,1.5,3.0,17,2.53,29.4,4,3.81,50.0
PYTHUSDT,REG_BULL,1.0,5.0,16,6.78,25.0,3,2.79,33.3
PYTHUSDT,HID_BULL,2.0,3.0,32,6.78,31.2,9,2.61,33.3
PYTHUSDT,HID_BEAR,1.5,9.0,44,33.69,18.2,19,19.91,21.1
QNTUSDT,REG_BULL,2.0,9.0,29,19.32,17.2,7,2.67,14.3
QNTUSDT,REG_BEAR,1.0,8.0,20,31.82,30.0,8,0.16,12.5
RESOLVUSDT,HID_BULL,1.5,9.0,19,30.24,26.3,8,11.51,25.0
RIVERUSDT,HID_BULL,1.5,3.0,9,14.73,66.7,9,14.88,66.7
ROSEUSDT,REG_BEAR,1.5,10.0,31,22.23,16.1,6,4.53,16.7
ROSEUSDT,HID_BULL,1.0,10.0,30,22.34,16.7,9,12.17,22.2
ROSEUSDT,HID_BEAR,1.0,1.5,56,9.39,50.0,18,5.45,55.6
RVNUSDT,REG_BEAR,1.0,5.0,24,15.16,29.2,14,8.07,28.6
RVNUSDT,HID_BEAR,1.0,8.0,33,44.72,27.3,14,2.29,14.3
SAFEUSDT,REG_BULL,2.0,7.0,19,36.04,36.8,6,1.77,16.7
SAFEUSDT,REG_BEAR,2.0,10.0,24,29.86,20.8,4,6.76,25.0
SAFEUSDT,HID_BEAR,1.5,1.5,40,7.58,50.0,12,2.27,50.0
SAHARAUSDT,REG_BEAR,1.5,1.5,21,5.06,52.4,5,2.22,60.0
SANDUSDT,REG_BULL,1.5,1.5,17,6.76,58.8,6,3.69,66.7
SANDUSDT,REG_BEAR,2.0,8.0,23,20.71,21.7,6,11.61,33.3
SANDUSDT,HID_BEAR,1.5,10.0,38,14.55,13.2,20,22.64,20.0
SCRTUSDT,HID_BULL,1.5,10.0,36,27.53,16.7,6,4.6,16.7
SCRTUSDT,HID_BEAR,1.5,10.0,51,23.02,13.7,14,7.09,14.3
SEIUSDT,HID_BEAR,1.0,9.0,42,24.2,16.7,17,1.18,11.8
