symbol,side,signal_type,entry,sl,tp,exit,outcome,bars_held,filled,r_pnl
SOLUSDT,short,hidden_bearish,132.31,133.92,127.48000000000005,133.92,loss,19,True,-1.0
SOLUSDT,short,hidden_bearish,132.11,133.8735960935746,126.81921171927621,133.8735960935746,loss,17,True,-1.0
SOLUSDT,short,hidden_bearish,131.9,133.5,127.10000000000002,133.5,loss,1,True,-1.0
SOLUSDT,short,hidden_bearish,134.68,135.46,132.34,135.46,loss,1,True,-1.0
SOLUSDT,short,hidden_bearish,135.66,136.25,133.89,133.89,win,1,True,3.0
SOLUSDT,short,hidden_bearish,139.08,140.2,135.72000000000008,135.72000000000008,win,7,True,3.0
SOLUSDT,short,hidden_bearish,138.22,140.2,132.28000000000003,132.28000000000003,win,6,True,3.0
SOLUSDT,short,hidden_bearish,138.66,140.2,134.04000000000002,134.04000000000002,win,3,True,3.0
XRPUSDT,short,hidden_bearish,2.4116,2.4481,2.3020999999999994,2.4481,loss,12,True,-1.0
XRPUSDT,short,hidden_bearish,2.3367,2.4030801690535832,2.13755949283925,2.4030801690535832,loss,7,True,-1.0
XRPUSDT,short,hidden_bearish,2.3419,2.40316688253358,2.1580993523992587,2.40316688253358,loss,5,True,-1.0
XRPUSDT,short,hidden_bearish,2.3523,2.4134969028807784,2.1687092913576653,2.4134969028807784,loss,4,True,-1.0
XRPUSDT,short,hidden_bearish,2.3779,2.441431895941562,2.1873043121753133,2.441431895941562,loss,4,True,-1.0
XRPUSDT,short,hidden_bearish,2.39,2.4481,2.2157,2.4481,loss,2,True,-1.0
XRPUSDT,short,hidden_bearish,2.4208,2.4481,2.338899999999999,2.4481,loss,1,True,-1.0
XRPUSDT,short,hidden_bearish,2.4727,2.5108,2.3584,2.5108,loss,1,True,-1.0
XRPUSDT,short,hidden_bearish,2.5008,2.5193,2.4453,2.5193,loss,3,True,-1.0
XRPUSDT,short,hidden_bearish,2.5005,2.5199,2.4423000000000012,2.5199,loss,1,True,-1.0
XRPUSDT,short,hidden_bearish,2.4999,2.5267,2.4194999999999993,2.4194999999999993,win,4,True,3.0
XRPUSDT,short,hidden_bearish,2.2343,2.2793,2.0993000000000004,2.2793,loss,21,True,-1.0
XRPUSDT,short,hidden_bearish,2.2154,2.264603553273426,2.067789340179722,2.264603553273426,loss,14,True,-1.0
XRPUSDT,short,hidden_bearish,2.1859,2.2390120022364846,2.026563993290547,2.2390120022364846,loss,8,True,-1.0
XRPUSDT,short,hidden_bearish,2.1744,2.2309170150131816,2.004848954960455,2.2309170150131816,loss,6,True,-1.0
XRPUSDT,short,hidden_bearish,2.2156,2.2793,2.024499999999999,2.2793,loss,13,True,-1.0
XRPUSDT,short,hidden_bearish,2.1966,2.259097810682301,2.0091065679530975,2.259097810682301,loss,5,True,-1.0
XRPUSDT,short,hidden_bearish,2.2136,2.2793,2.0164999999999997,2.2793,loss,9,True,-1.0
XRPUSDT,short,hidden_bearish,2.2274,2.2793,2.071699999999999,2.2793,loss,7,True,-1.0
XRPUSDT,short,hidden_bearish,2.2565,2.2668188010177004,2.2255435969468986,2.2668188010177004,loss,3,True,-1.0
XRPUSDT,short,hidden_bearish,2.2529,2.2669,2.210899999999999,2.2669,loss,1,True,-1.0
XRPUSDT,short,hidden_bearish,2.2635,2.2712745543874875,2.2401763368375383,2.2712745543874875,loss,1,True,-1.0
XRPUSDT,short,hidden_bearish,2.2734,2.2841,2.2413000000000003,2.2413000000000003,win,3,True,3.0
XRPUSDT,short,hidden_bearish,2.2714,2.2841,2.2332999999999994,2.2332999999999994,win,1,True,3.0
XRPUSDT,short,hidden_bearish,2.2105,2.265664354878691,2.0450069353639275,2.265664354878691,loss,1,True,-1.0
XRPUSDT,short,hidden_bearish,2.2041,2.2404,2.0951999999999993,2.0951999999999993,win,17,True,3.0
XRPUSDT,short,hidden_bearish,2.2163,2.2404,2.1439999999999992,2.1439999999999992,win,5,True,3.0
XRPUSDT,short,hidden_bearish,2.2067,2.2404,2.1056,2.1056,win,12,True,3.0
XRPUSDT,short,hidden_bearish,2.1841,2.236880526976272,2.0257584190711837,2.0257584190711837,win,16,True,3.0
XRPUSDT,short,hidden_bearish,2.1382,2.1951969291510665,1.9672092125468004,1.9672092125468004,win,44,True,3.0
XRPUSDT,short,hidden_bearish,2.167,2.220847471229023,2.00545758631293,2.00545758631293,win,32,True,3.0
XRPUSDT,short,hidden_bearish,2.1399,2.191801433945355,1.984195698163934,1.984195698163934,win,31,True,3.0
XRPUSDT,short,hidden_bearish,2.1303,2.1778312992745117,1.987706102176466,1.987706102176466,win,29,True,3.0
XRPUSDT,short,hidden_bearish,2.1218,2.1684417314550775,1.9818748056347675,1.9818748056347675,win,27,True,3.0
XRPUSDT,short,hidden_bearish,2.0845,2.144610456070702,1.9041686317878919,2.144610456070702,loss,12,True,-1.0
XRPUSDT,short,hidden_bearish,2.0563,2.1206905203375497,1.86312843898735,2.1206905203375497,loss,6,True,-1.0
XRPUSDT,short,hidden_bearish,2.0361,2.097996879720204,1.8504093608393875,2.097996879720204,loss,3,True,-1.0
XRPUSDT,short,hidden_bearish,2.0907,2.15865810076762,1.8868256976971403,1.8868256976971403,win,33,True,3.0
XRPUSDT,short,hidden_bearish,2.1085,2.169,1.9269999999999992,1.9269999999999992,win,31,True,3.0
XRPUSDT,short,hidden_bearish,2.1261,2.1491,2.057100000000001,2.057100000000001,win,14,True,3.0
XRPUSDT,short,hidden_bearish,2.1333,2.1486,2.0874000000000006,2.1486,loss,1,True,-1.0
XRPUSDT,short,hidden_bearish,2.1414,2.149,2.1186,2.1186,win,3,True,3.0
XRPUSDT,short,hidden_bearish,1.9428,1.9974,1.7790000000000001,1.9974,loss,24,True,-1.0
XRPUSDT,short,hidden_bearish,1.9495,1.9974,1.8057999999999998,1.9974,loss,22,True,-1.0
XRPUSDT,short,hidden_bearish,1.9356,1.9974,1.7501999999999998,1.9974,loss,20,True,-1.0
XRPUSDT,short,hidden_bearish,1.9537,1.9974,1.8225999999999998,1.9974,loss,18,True,-1.0
XRPUSDT,short,hidden_bearish,1.9136,1.9834480013436875,1.7040559959689374,1.9834480013436875,loss,16,True,-1.0
XRPUSDT,short,hidden_bearish,1.9011,1.965576054342592,1.7076718369722241,1.965576054342592,loss,11,True,-1.0
XRPUSDT,short,hidden_bearish,1.9026,1.9648704585951025,1.7157886242146927,1.9648704585951025,loss,9,True,-1.0
XRPUSDT,short,hidden_bearish,1.9276,1.9626,1.8226000000000002,1.9626,loss,7,True,-1.0
XRPUSDT,short,hidden_bearish,1.9434,1.9626,1.8858000000000004,1.9626,loss,5,True,-1.0
XRPUSDT,short,hidden_bearish,1.9308,1.9582,1.8486000000000005,1.9582,loss,3,True,-1.0
XRPUSDT,short,hidden_bearish,1.9265,1.9572,1.8344000000000003,1.9572,loss,1,True,-1.0
XRPUSDT,short,hidden_bearish,1.957,1.9665,1.9285000000000005,1.9665,loss,2,True,-1.0
XRPUSDT,short,hidden_bearish,1.9586,1.9665,1.9348999999999998,1.9665,loss,1,True,-1.0
XRPUSDT,short,hidden_bearish,2.0304,2.0495,1.9731000000000005,2.0495,loss,1,True,-1.0
XRPUSDT,short,hidden_bearish,2.0643,2.0749,2.0324999999999993,2.0324999999999993,win,2,True,3.0
XRPUSDT,short,hidden_bearish,2.1989,2.2225,2.1281,2.1281,win,34,True,3.0
XRPUSDT,short,hidden_bearish,2.2172,2.222533781641791,2.2011986550746268,2.2011986550746268,win,1,True,3.0
XRPUSDT,short,hidden_bearish,2.1972,2.2225,2.1212999999999997,2.1212999999999997,win,30,True,3.0
XRPUSDT,short,hidden_bearish,2.1927,2.2225,2.103299999999999,2.103299999999999,win,28,True,3.0
XRPUSDT,short,hidden_bearish,2.2055,2.2225,2.1544999999999987,2.1544999999999987,win,25,True,3.0
XRPUSDT,short,hidden_bearish,2.1997,2.2225,2.1312999999999995,2.1312999999999995,win,24,True,3.0
XRPUSDT,short,hidden_bearish,2.2048,2.2225,2.1517,2.1517,win,21,True,3.0
XRPUSDT,short,hidden_bearish,2.2052,2.2225,2.1532999999999998,2.1532999999999998,win,19,True,3.0
XRPUSDT,short,hidden_bearish,2.1958,2.2139,2.1415,2.2139,loss,3,True,-1.0
XRPUSDT,short,hidden_bearish,2.193,2.2117,2.1369000000000002,2.2117,loss,1,True,-1.0
XRPUSDT,short,hidden_bearish,2.2092,2.2145,2.1933,2.1933,win,3,True,3.0
XRPUSDT,short,hidden_bearish,2.0108,2.0435,1.912700000000001,2.0435,loss,3,True,-1.0
XRPUSDT,short,hidden_bearish,2.0355,2.0435,2.0115,2.0435,loss,1,True,-1.0
XRPUSDT,short,hidden_bearish,2.0434,2.0490682925898756,2.0263951222303738,2.0490682925898756,loss,1,True,-1.0
XRPUSDT,short,hidden_bearish,2.1541,2.1644,2.1232,2.1644,loss,1,True,-1.0
XRPUSDT,short,hidden_bearish,2.169,2.1781009537710507,2.1416971386868484,2.1781009537710507,loss,1,True,-1.0
XRPUSDT,short,hidden_bearish,2.1734,2.1829,2.1449,2.1449,win,4,True,3.0
XRPUSDT,short,hidden_bearish,2.0323,2.0816874217003707,1.8841377348988886,2.0816874217003707,loss,48,True,-1.0
XRPUSDT,short,hidden_bearish,2.0175,2.0698523300771674,1.8604430097684985,2.0698523300771674,loss,32,True,-1.0
XRPUSDT,short,hidden_bearish,2.0289,2.0496,1.966800000000001,2.0496,loss,6,True,-1.0
XRPUSDT,short,hidden_bearish,2.027,2.0464,1.9687999999999999,2.0464,loss,3,True,-1.0
XRPUSDT,short,hidden_bearish,2.036,2.0464,2.0047999999999995,2.0464,loss,1,True,-1.0
XRPUSDT,short,hidden_bearish,2.0469,2.050340430736371,2.0365787077908872,2.050340430736371,loss,1,True,-1.0
XRPUSDT,short,hidden_bearish,2.0518,2.0727,1.9890999999999996,1.9890999999999996,win,9,True,3.0
BEATUSDT,short,hidden_bearish,0.9206,1.019,0.6254000000000002,0.9206,timeout,50,True,0.0
BEATUSDT,short,hidden_bearish,0.9102,1.019,0.5838000000000003,0.9102,timeout,50,True,0.0
BEATUSDT,short,hidden_bearish,0.9654,1.019,0.8046000000000004,0.8046000000000004,win,42,True,3.0
BEATUSDT,short,hidden_bearish,0.9612,1.019,0.7878000000000005,0.7878000000000005,win,41,True,3.0
BEATUSDT,short,hidden_bearish,0.9077,0.9882,0.6661999999999999,0.9882,loss,22,True,-1.0
BEATUSDT,short,hidden_bearish,0.8532,0.9487433780457901,0.5665698658626295,0.9487433780457901,loss,20,True,-1.0
BEATUSDT,short,hidden_bearish,0.8557,0.9421712483988379,0.5962862548034863,0.9421712483988379,loss,18,True,-1.0
BEATUSDT,short,hidden_bearish,0.8341,0.9164326265751271,0.5871021202746185,0.9164326265751271,loss,16,True,-1.0
BEATUSDT,short,hidden_bearish,0.8475,0.9216876172942066,0.6249371481173802,0.9216876172942066,loss,14,True,-1.0
BEATUSDT,short,hidden_bearish,0.8529,0.9190142547676485,0.6545572356970544,0.9190142547676485,loss,12,True,-1.0
FARTCOINUSDT,short,hidden_bearish,0.3127,0.33026358346898066,0.26000924959305793,0.26000924959305793,win,46,True,3.0
FARTCOINUSDT,short,hidden_bearish,0.3024,0.31992464713892327,0.2498260585832302,0.3024,timeout,50,True,0.0
FARTCOINUSDT,short,hidden_bearish,0.2973,0.3157,0.2421000000000001,0.2973,timeout,50,True,0.0
FARTCOINUSDT,short,hidden_bearish,0.2854,0.3049772651246378,0.2266682046260866,0.3049772651246378,loss,9,True,-1.0
FARTCOINUSDT,short,hidden_bearish,0.2906,0.3082895902491724,0.23753122925248293,0.3082895902491724,loss,10,True,-1.0
