symbol,div_type,atr,rr,trades,wr,total_r,avg_r
AVLUSDT,REG_BEAR,1.0,6.0,10,40.0,17.39,1.739
KAVAUSDT,REG_BEAR,1.5,1.5,11,54.5,2.98,0.271
AVLUSDT,REG_BEAR,1.0,7.0,10,40.0,21.39,2.139
AXLUSDT,REG_BEAR,1.5,2.0,12,41.7,2.25,0.187
KAVAUSDT,REG_BEAR,1.5,2.0,11,54.5,5.98,0.544
BABYUSDT,REG_BEAR,1.0,1.5,10,70.0,6.37,0.637
AVLUSDT,REG_BEAR,1.0,8.0,10,30.0,16.39,1.639
KAVAUSDT,REG_BEAR,1.5,3.0,10,50.0,8.99,0.899
AXLUSDT,REG_BEAR,1.5,3.0,12,41.7,7.25,0.604
ARPAUSDT,HID_BULL,1.0,6.0,10,20.0,2.62,0.262
BABYUSDT,REG_BEAR,1.0,2.0,10,70.0,9.87,0.987
AVLUSDT,REG_BEAR,1.0,9.0,10,30.0,19.39,1.939
KAVAUSDT,REG_BEAR,1.5,4.0,10,50.0,13.99,1.399
AXLUSDT,REG_BEAR,1.5,4.0,12,41.7,12.25,1.02
AVLUSDT,REG_BEAR,1.0,10.0,10,20.0,11.39,1.139
KAVAUSDT,REG_BEAR,1.5,5.0,10,50.0,18.99,1.899
BABYUSDT,REG_BEAR,1.0,3.0,10,50.0,8.87,0.887
BABYUSDT,REG_BEAR,1.0,4.0,10,50.0,13.87,1.387
KAVAUSDT,REG_BEAR,1.5,6.0,10,50.0,23.99,2.399
AVLUSDT,REG_BEAR,1.5,1.5,10,60.0,4.59,0.459
AXLUSDT,REG_BEAR,1.5,5.0,12,41.7,17.25,1.437
KAVAUSDT,REG_BEAR,1.5,7.0,10,50.0,28.99,2.899
AVLUSDT,REG_BEAR,1.5,2.0,10,50.0,4.59,0.459
BABYUSDT,REG_BEAR,1.0,5.0,10,50.0,18.87,1.887
AXLUSDT,REG_BEAR,1.5,6.0,12,41.7,22.25,1.854
KAVAUSDT,REG_BEAR,1.5,8.0,10,50.0,33.99,3.399
AVLUSDT,REG_BEAR,1.5,3.0,10,50.0,9.59,0.959
BABYUSDT,REG_BEAR,1.0,6.0,10,40.0,16.87,1.687
KAVAUSDT,REG_BEAR,1.5,9.0,10,50.0,38.99,3.899
AXLUSDT,REG_BEAR,1.5,7.0,12,41.7,27.25,2.27
AVLUSDT,REG_BEAR,1.5,4.0,10,50.0,14.59,1.459
BABYUSDT,REG_BEAR,1.0,7.0,10,40.0,20.87,2.087
BANANAS31USDT,HID_BULL,1.0,4.0,13,30.8,5.84,0.449
KAVAUSDT,REG_BEAR,1.5,10.0,10,50.0,43.99,4.399
AVLUSDT,REG_BEAR,1.5,5.0,10,40.0,13.59,1.359
AXLUSDT,REG_BEAR,1.5,8.0,12,41.7,32.25,2.687
