symbol,r,exit,max_r,bar_idx,timestamp
PLUMEUSDT,0.6578703571022738,trailed,0.9596960227272681,387,2025-12-14 21:00:00
PLUMEUSDT,-1.0,sl,0.0,406,2025-12-15 01:45:00
PLUMEUSDT,1.1363141333333264,trailed,1.4386666666666597,520,2025-12-16 06:15:00
PLUMEUSDT,-1.0,sl,0.0,530,2025-12-16 08:45:00
PLUMEUSDT,-1.0,sl,0.7765294117647167,546,2025-12-16 12:45:00
PLUMEUSDT,-1.0,sl,0.4190499999999859,580,2025-12-16 21:15:00
ACEUSDT,0.9850362777777804,trailed,1.287222222222229,137,2025-12-12 06:30:00
ACEUSDT,1.853058179999973,trailed,2.3562000000000283,260,2025-12-13 13:15:00
ACEUSDT,1.3973243250000267,trailed,1.8428214285714668,307,2025-12-14 01:00:00
ACEUSDT,1.0059453926174606,trailed,1.590033557046989,344,2025-12-14 10:15:00
ACEUSDT,-1.0,sl,0.0,486,2025-12-15 21:45:00
ACEUSDT,-1.0,sl,0.0,687,2025-12-18 00:00:00
WLDUSDT,-1.0,sl,0.12060085227271197,56,2025-12-11 10:15:00
WLDUSDT,1.1283942833333267,trailed,1.5735952380952267,84,2025-12-11 17:15:00
WLDUSDT,0.4821111256756882,trailed,0.9594189189189445,103,2025-12-11 22:00:00
WLDUSDT,-1.0,sl,0.0,160,2025-12-12 12:15:00
WLDUSDT,0.559354249999969,trailed,1.575357142857046,250,2025-12-13 10:45:00
WLDUSDT,0.7450555977272992,trailed,1.0469772727272992,303,2025-12-14 00:00:00
WLDUSDT,0.862296180957945,trailed,1.164346962616818,387,2025-12-14 21:00:00
WLDUSDT,0.9733685708332102,trailed,2.025541666666497,493,2025-12-15 23:30:00
WLDUSDT,-1.0,sl,0.5489599406528357,631,2025-12-17 10:00:00
WLDUSDT,0.8748011982029615,trailed,1.1768657505285403,685,2025-12-17 23:30:00
WLDUSDT,0.8025358604166787,trailed,1.3545208333333372,698,2025-12-18 02:45:00
TIAUSDT,0.9483901250000253,trailed,1.5362499999999715,100,2025-12-11 21:15:00
TIAUSDT,-1.0,sl,2.30313432835818,197,2025-12-12 21:30:00
TIAUSDT,0.4155345072183615,trailed,0.7417411971831377,258,2025-12-13 12:45:00
TIAUSDT,1.1446521736111548,trailed,1.4470138888889295,282,2025-12-13 18:45:00
TIAUSDT,0.802864665000023,trailed,1.5548499999999952,313,2025-12-14 02:30:00
TIAUSDT,0.5897448232628051,trailed,1.9700453172205064,344,2025-12-14 10:15:00
TIAUSDT,0.6546856000862081,trailed,0.9565077586206934,379,2025-12-14 19:00:00
TIAUSDT,-1.0,sl,0.2146206896551793,418,2025-12-15 04:45:00
TIAUSDT,0.44926065672589605,trailed,3.3447652284264047,452,2025-12-15 13:15:00
TIAUSDT,0.6428861476562526,trailed,0.9446953125000096,487,2025-12-15 22:00:00
TIAUSDT,-1.0,sl,0.388722222222262,532,2025-12-16 09:15:00
TIAUSDT,0.4475581065217847,trailed,0.7926304347826404,614,2025-12-17 05:45:00
TIAUSDT,0.5929504226436846,trailed,0.8947045977011544,685,2025-12-17 23:30:00
TIAUSDT,2.0658738250000166,trailed,2.4461730769230874,698,2025-12-18 02:45:00
INJUSDT,-1.0,sl,0.0,62,2025-12-11 11:45:00
INJUSDT,-1.0,sl,0.0,194,2025-12-12 20:45:00
INJUSDT,-1.0,sl,0.0,253,2025-12-13 11:30:00
INJUSDT,0.5856871566666574,trailed,0.887433333333324,280,2025-12-13 18:15:00
INJUSDT,2.0501078533334063,trailed,2.686800000000091,314,2025-12-14 02:45:00
INJUSDT,1.557808312500003,trailed,1.8606250000000142,395,2025-12-14 23:00:00
INJUSDT,-1.0,sl,0.0,513,2025-12-16 04:30:00
INJUSDT,0.8895064633721007,trailed,1.2322848837209508,605,2025-12-17 03:30:00
INJUSDT,0.6214898356140547,trailed,0.9232754385965012,626,2025-12-17 08:45:00
INJUSDT,1.8920652249999763,trailed,2.19524999999998,698,2025-12-18 02:45:00
DYDXUSDT,-1.0,sl,0.003636363636392539,63,2025-12-11 12:00:00
DYDXUSDT,-1.0,sl,0.0,100,2025-12-11 21:15:00
DYDXUSDT,-1.0,sl,0.0011342592592738826,130,2025-12-12 04:45:00
DYDXUSDT,-1.0,sl,0.0,195,2025-12-12 21:00:00
DYDXUSDT,-1.0,sl,0.22057291666667353,251,2025-12-13 11:00:00
DYDXUSDT,-1.0,sl,0.0,311,2025-12-14 02:00:00
DYDXUSDT,2.3270237437498893,trailed,2.6306874999999033,340,2025-12-14 09:15:00
DYDXUSDT,-1.0,sl,0.08777083333333563,487,2025-12-15 22:00:00
DYDXUSDT,-1.0,sl,0.0,519,2025-12-16 06:00:00
DYDXUSDT,0.9701970633333343,trailed,1.4723666666666677,586,2025-12-16 22:45:00
DYDXUSDT,0.6676314752293561,trailed,0.9694678899082574,605,2025-12-17 03:30:00
ETHFIUSDT,-1.0,sl,0.0,64,2025-12-11 12:15:00
ETHFIUSDT,-1.0,sl,0.0630781250000188,194,2025-12-12 20:45:00
ETHFIUSDT,0.9386582310344919,trailed,1.2407931034482798,251,2025-12-13 11:00:00
ETHFIUSDT,1.4364499633980694,trailed,2.051754368932048,344,2025-12-14 10:15:00
ETHFIUSDT,2.5138937347345114,trailed,3.4062588495575232,448,2025-12-15 12:15:00
ETHFIUSDT,-1.0,sl,0.0,484,2025-12-15 21:15:00
ETHFIUSDT,-1.0,sl,0.0,519,2025-12-16 06:00:00
ETHFIUSDT,1.2360468990741034,trailed,1.5755462962963156,605,2025-12-17 03:30:00
ETHFIUSDT,0.7758684675925955,trailed,1.1611574074074134,683,2025-12-17 23:00:00
ENAUSDT,-1.0,sl,0.0,100,2025-12-11 21:15:00
ENAUSDT,-1.0,sl,0.0,146,2025-12-12 08:45:00
ENAUSDT,-1.0,sl,0.0,161,2025-12-12 12:30:00
ENAUSDT,-1.0,sl,0.22664285714285945,197,2025-12-12 21:30:00
ENAUSDT,-1.0,sl,0.21215384615386262,224,2025-12-13 04:15:00
ENAUSDT,-1.0,sl,0.3713846153846208,397,2025-12-14 23:30:00
ENAUSDT,0.9295251849999923,trailed,1.231649999999996,587,2025-12-16 23:00:00
ENAUSDT,0.4449088500000021,trailed,0.8964999999999937,617,2025-12-17 06:30:00
ENAUSDT,0.4858637500000064,trailed,0.7875000000000039,683,2025-12-17 23:00:00
SOMIUSDT,-1.0,sl,0.0,51,2025-12-11 09:00:00
SOMIUSDT,-1.0,sl,0.0,156,2025-12-12 11:15:00
SOMIUSDT,-1.0,sl,0.5767604166666704,191,2025-12-12 20:00:00
SOMIUSDT,1.8239287192307734,trailed,2.1270384615384614,201,2025-12-12 22:30:00
SOMIUSDT,-1.0,sl,0.0,287,2025-12-13 20:00:00
SOMIUSDT,-1.0,sl,0.0,299,2025-12-13 23:00:00
SOMIUSDT,1.6727855118643977,trailed,2.3486101694915194,328,2025-12-14 06:15:00
SOMIUSDT,-1.0,sl,0.0,477,2025-12-15 19:30:00
SOMIUSDT,0.8322618452076633,trailed,1.1342795527156515,629,2025-12-17 09:30:00
TNSRUSDT,-1.0,sl,0.27985487804878073,66,2025-12-11 12:45:00
TNSRUSDT,0.7557547452247307,trailed,1.3329691011236076,162,2025-12-12 12:45:00
TNSRUSDT,-1.0,sl,0.5292786259542013,195,2025-12-12 21:00:00
TNSRUSDT,-1.0,sl,0.0,236,2025-12-13 07:15:00
TNSRUSDT,0.9100820132001889,trailed,1.2121854171590636,265,2025-12-13 14:30:00
TNSRUSDT,0.444879470588227,trailed,0.7660784313725453,358,2025-12-14 13:45:00
TNSRUSDT,-1.0,sl,0.0,490,2025-12-15 22:45:00
TNSRUSDT,0.873482951973673,trailed,1.1755460526315769,578,2025-12-16 20:45:00
TNSRUSDT,-1.0,sl,0.0,604,2025-12-17 03:15:00
MMTUSDT,2.9967,tp,6.327833333333515,61,2025-12-11 11:30:00
MMTUSDT,-1.0,sl,0.3584000000000028,237,2025-12-13 07:30:00
MMTUSDT,0.8757736625000061,trailed,1.1778392857142947,355,2025-12-14 13:00:00
MMTUSDT,-1.0,sl,0.0,498,2025-12-16 00:45:00
MMTUSDT,-1.0,sl,0.005181818181815711,619,2025-12-17 07:00:00
SUSDT,-1.0,sl,0.0,98,2025-12-11 20:45:00
SUSDT,-1.0,sl,0.0,133,2025-12-12 05:30:00
SUSDT,0.47155766494252566,trailed,0.7731781609195452,250,2025-12-13 10:45:00
SUSDT,0.5390801474999903,trailed,0.8741083333333314,311,2025-12-14 02:00:00
SUSDT,0.4271978899337863,trailed,0.7287695364238475,380,2025-12-14 19:15:00
SUSDT,0.8712789836597411,trailed,1.173339657282751,514,2025-12-16 04:45:00
SUSDT,-1.0,sl,0.4402674418604655,567,2025-12-16 18:00:00
SUSDT,-1.0,sl,0.0,641,2025-12-17 12:30:00
SUSDT,0.6779751114583571,trailed,1.3027395833333515,683,2025-12-17 23:00:00
SUSDT,2.1609459597561704,trailed,2.464426829268366,697,2025-12-18 02:30:00
RESOLVUSDT,-1.0,sl,0.0,207,2025-12-13 00:00:00
RESOLVUSDT,-1.0,sl,0.5137674418604641,246,2025-12-13 09:45:00
RESOLVUSDT,0.4407282685185316,trailed,1.408981481481462,269,2025-12-13 15:30:00
RESOLVUSDT,-1.0,sl,1.1108888888888002,312,2025-12-14 02:15:00
RESOLVUSDT,0.5040432236784895,trailed,0.8056994931209234,389,2025-12-14 21:30:00
RESOLVUSDT,1.4600458715685858,trailed,1.9000098039215199,411,2025-12-15 03:00:00
RESOLVUSDT,0.7005987099999877,trailed,1.0024714285714162,458,2025-12-15 14:45:00
RESOLVUSDT,0.648680651901153,trailed,0.9504961977186419,525,2025-12-16 07:30:00
RESOLVUSDT,0.6840439380543575,trailed,0.985898426323312,549,2025-12-16 13:30:00
RESOLVUSDT,0.7344156232558225,trailed,1.0363255813953671,578,2025-12-16 20:45:00
RESOLVUSDT,-1.0,sl,0.0,635,2025-12-17 11:00:00
RESOLVUSDT,0.7719554822033784,trailed,1.4298389830508254,647,2025-12-17 14:00:00
RESOLVUSDT,0.40921815300000436,trailed,0.8107699999999878,673,2025-12-17 20:30:00
ZECUSDT,-1.0,sl,0.0,219,2025-12-13 03:00:00
ZECUSDT,2.120027978436288,trailed,2.528509460635068,243,2025-12-13 09:00:00
ZECUSDT,-1.0,sl,0.0,344,2025-12-14 10:15:00
ZECUSDT,-1.0,sl,0.0020319148936183916,551,2025-12-16 14:00:00
ZECUSDT,0.42887463630952943,trailed,0.7304481292517082,625,2025-12-17 08:30:00
ZECUSDT,-1.0,sl,0.24939599098374401,683,2025-12-17 23:00:00
ADAUSDT,0.5012890711538667,trailed,0.8029423076923304,164,2025-12-12 13:15:00
ADAUSDT,-1.0,sl,0.4500000000000025,210,2025-12-13 00:45:00
ADAUSDT,1.0001235282608518,trailed,1.3023260869565114,294,2025-12-13 21:45:00
ADAUSDT,0.46373427307697185,trailed,0.7653461538462112,304,2025-12-14 00:15:00
ADAUSDT,0.6994142999999938,trailed,1.0012857142857072,475,2025-12-15 19:00:00
ADAUSDT,0.5797149454545504,trailed,0.8814545454545503,514,2025-12-16 04:45:00
ADAUSDT,-1.0,sl,1.5295972222222407,546,2025-12-16 12:45:00
ADAUSDT,0.5873131681222776,trailed,1.0724672489083007,605,2025-12-17 03:30:00
ADAUSDT,-1.0,sl,0.32410000000000466,635,2025-12-17 11:00:00
XPLUSDT,1.0170288250000261,trailed,1.8192500000000207,75,2025-12-11 15:00:00
XPLUSDT,2.9967,tp,4.249591549295747,146,2025-12-12 08:45:00
XPLUSDT,1.2163964883720593,trailed,4.412894056847537,161,2025-12-12 12:30:00
XPLUSDT,0.5930918230769259,trailed,0.8948461538461574,195,2025-12-12 21:00:00
