symbol,div,rr,atr_mult,trades,wr,total_r,sharpe,max_dd_pct,mc_pct,train1,train2,oos
GNOUSDT,HID_BULL,6.0,2.5,96,30.2,111.09,3.61,17.0,100.0,"{'trades': 28, 'wins': 9, 'wr': 32.1, 'total_r': 35.61}","{'trades': 21, 'wins': 6, 'wr': 28.6, 'total_r': 21.06}","{'trades': 47, 'wins': 14, 'wr': 29.8, 'total_r': 54.42}"
GNOUSDT,HID_BULL,7.0,2.0,96,27.1,113.12,3.3,16.9,100.0,"{'trades': 28, 'wins': 8, 'wr': 28.6, 'total_r': 35.76}","{'trades': 21, 'wins': 7, 'wr': 33.3, 'total_r': 33.7}","{'trades': 47, 'wins': 11, 'wr': 23.4, 'total_r': 43.66}"
GRIFFAINUSDT,REG_BEAR,3.0,0.8,54,44.4,38.65,2.65,21.7,100.0,"{'trades': 13, 'wins': 4, 'wr': 30.8, 'total_r': 2.61}","{'trades': 28, 'wins': 14, 'wr': 50.0, 'total_r': 25.96}","{'trades': 13, 'wins': 6, 'wr': 46.2, 'total_r': 10.08}"
GRIFFAINUSDT,REG_BEAR,3.0,1.5,54,44.4,40.44,2.78,20.4,100.0,"{'trades': 13, 'wins': 5, 'wr': 38.5, 'total_r': 7.02}","{'trades': 28, 'wins': 13, 'wr': 46.4, 'total_r': 22.91}","{'trades': 13, 'wins': 6, 'wr': 46.2, 'total_r': 10.51}"
GRASSUSDT,HID_BEAR,3.0,1.5,63,38.1,30.42,1.97,27.2,100.0,"{'trades': 25, 'wins': 9, 'wr': 36.0, 'total_r': 10.01}","{'trades': 15, 'wins': 7, 'wr': 46.7, 'total_r': 12.34}","{'trades': 23, 'wins': 8, 'wr': 34.8, 'total_r': 8.07}"
GRASSUSDT,HID_BEAR,3.0,2.0,63,38.1,32.06,2.09,29.2,100.0,"{'trades': 25, 'wins': 11, 'wr': 44.0, 'total_r': 18.26}","{'trades': 15, 'wins': 6, 'wr': 40.0, 'total_r': 8.5}","{'trades': 23, 'wins': 7, 'wr': 30.4, 'total_r': 5.3}"
GRASSUSDT,HID_BEAR,4.0,1.5,63,33.3,40.42,2.17,28.6,100.0,"{'trades': 25, 'wins': 9, 'wr': 36.0, 'total_r': 19.01}","{'trades': 15, 'wins': 6, 'wr': 40.0, 'total_r': 14.34}","{'trades': 23, 'wins': 6, 'wr': 26.1, 'total_r': 7.07}"
HAEDALUSDT,HID_BULL,4.0,2.0,37,37.8,31.9,2.18,29.6,100.0,"{'trades': 16, 'wins': 4, 'wr': 25.0, 'total_r': 3.44}","{'trades': 14, 'wins': 8, 'wr': 57.1, 'total_r': 25.3}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 3.16}"
HIPPOUSDT,REG_BULL,3.0,1.5,32,43.8,22.83,2.03,22.8,100.0,"{'trades': 11, 'wins': 4, 'wr': 36.4, 'total_r': 4.52}","{'trades': 13, 'wins': 6, 'wr': 46.2, 'total_r': 10.5}","{'trades': 8, 'wins': 4, 'wr': 50.0, 'total_r': 7.81}"
HIPPOUSDT,REG_BULL,3.0,2.0,32,46.9,27.12,2.4,22.8,100.0,"{'trades': 11, 'wins': 4, 'wr': 36.4, 'total_r': 4.64}","{'trades': 13, 'wins': 7, 'wr': 53.8, 'total_r': 14.62}","{'trades': 8, 'wins': 4, 'wr': 50.0, 'total_r': 7.86}"
HIPPOUSDT,REG_BULL,3.0,2.5,32,50.0,31.3,2.77,19.7,100.0,"{'trades': 11, 'wins': 5, 'wr': 45.5, 'total_r': 8.71}","{'trades': 13, 'wins': 7, 'wr': 53.8, 'total_r': 14.7}","{'trades': 8, 'wins': 4, 'wr': 50.0, 'total_r': 7.89}"
HIPPOUSDT,REG_BULL,4.0,1.5,32,37.5,26.83,1.96,23.3,100.0,"{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 3.52}","{'trades': 13, 'wins': 5, 'wr': 38.5, 'total_r': 11.5}","{'trades': 8, 'wins': 4, 'wr': 50.0, 'total_r': 11.81}"
HIPPOUSDT,REG_BULL,4.0,2.0,32,40.6,32.12,2.31,19.3,100.0,"{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 3.64}","{'trades': 13, 'wins': 6, 'wr': 46.2, 'total_r': 16.62}","{'trades': 8, 'wins': 4, 'wr': 50.0, 'total_r': 11.86}"
HIPPOUSDT,REG_BULL,4.0,2.5,32,46.9,42.3,3.0,14.5,100.0,"{'trades': 11, 'wins': 4, 'wr': 36.4, 'total_r': 8.71}","{'trades': 13, 'wins': 7, 'wr': 53.8, 'total_r': 21.7}","{'trades': 8, 'wins': 4, 'wr': 50.0, 'total_r': 11.89}"
HIPPOUSDT,REG_BULL,5.0,1.5,32,34.4,32.83,2.03,19.0,100.0,"{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 6.52}","{'trades': 13, 'wins': 4, 'wr': 30.8, 'total_r': 10.5}","{'trades': 8, 'wins': 4, 'wr': 50.0, 'total_r': 15.81}"
HIPPOUSDT,REG_BULL,5.0,2.0,32,40.6,45.12,2.7,13.7,100.0,"{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 6.64}","{'trades': 13, 'wins': 6, 'wr': 46.2, 'total_r': 22.62}","{'trades': 8, 'wins': 4, 'wr': 50.0, 'total_r': 15.86}"
