symbol,type,side,r,exit,max_r,bars,timestamp
PENGUUSDT,hidden_bearish,short,-1.0,loss,0.5326315789473682,12,2025-10-09 22:00:00
PENGUUSDT,hidden_bearish,short,0.4580893682588601,trailed,0.7580893682588585,2,2025-10-15 02:00:00
PENGUUSDT,hidden_bearish,short,0.9201405152224855,trailed,3.1100702576112376,2,2025-10-16 06:00:00
PENGUUSDT,hidden_bearish,short,0.42843450479232514,trailed,0.7284345047923274,3,2025-10-18 22:00:00
PENGUUSDT,hidden_bearish,short,0.6241379310344841,trailed,0.9241379310344847,3,2025-10-19 23:00:00
PENGUUSDT,hidden_bearish,short,2.66896551724135,trailed,2.9689655172413483,3,2025-10-20 13:00:00
PENGUUSDT,hidden_bearish,short,0.6512670565302046,trailed,1.2475633528264998,2,2025-10-22 14:00:00
PENGUUSDT,hidden_bearish,short,1.2633802816901387,trailed,1.5633802816901305,2,2025-10-25 08:00:00
PENGUUSDT,hidden_bearish,short,3.0,tp,3.552816901408467,1,2025-10-31 14:00:00
PENGUUSDT,hidden_bearish,short,1.0762376237623696,trailed,1.3762376237623732,2,2025-11-01 08:00:00
PENGUUSDT,hidden_bearish,short,0.7763237398632521,trailed,1.0763237398632512,2,2025-11-04 03:00:00
PENGUUSDT,hidden_bearish,short,0.48909952606634766,trailed,0.7890995260663497,3,2025-11-09 07:00:00
PENGUUSDT,hidden_bearish,short,0.7660331384015604,trailed,1.0660331384015609,5,2025-11-14 07:00:00
PENGUUSDT,hidden_bearish,short,1.093564356435646,trailed,1.3935643564356466,6,2025-11-14 17:00:00
PENGUUSDT,hidden_bearish,short,0.41880819366853284,trailed,0.7188081936685315,16,2025-11-22 04:00:00
PENGUUSDT,hidden_bearish,short,1.2207373271889321,trailed,1.6912442396313316,2,2025-11-26 07:00:00
PENGUUSDT,hidden_bearish,short,1.9956521739130315,trailed,2.4173913043478117,7,2025-11-27 04:00:00
PENGUUSDT,hidden_bearish,short,0.5037383177570115,trailed,0.8037383177570148,6,2025-11-29 21:00:00
PENGUUSDT,hidden_bearish,short,2.034545454545445,trailed,2.3527272727272646,3,2025-12-10 19:00:00
PENGUUSDT,hidden_bearish,short,0.6852750108272003,trailed,0.9852750108272011,28,2025-12-16 06:00:00
LUNA2USDT,hidden_bearish,short,1.170588235294108,trailed,1.5882352941176452,2,2025-10-03 04:00:00
LUNA2USDT,hidden_bearish,short,-1.0,loss,0.5801104972375695,5,2025-10-04 22:00:00
