symbol,div_type,atr,rr,trades,wr,total_r,avg_r
BANUSDT,HID_BULL,2.0,9.0,45,31.1,93.19,2.071
BATUSDT,HID_BULL,1.0,7.0,46,28.3,54.45,1.184
BANANAUSDT,HID_BEAR,1.0,3.0,120,66.7,188.78,1.573
BANUSDT,HID_BULL,2.0,10.0,45,26.7,85.19,1.893
BARDUSDT,HID_BULL,2.0,4.0,51,45.1,61.92,1.214
BATUSDT,HID_BULL,1.0,8.0,46,28.3,67.45,1.466
BARDUSDT,HID_BULL,2.0,5.0,51,45.1,84.92,1.665
BATUSDT,HID_BULL,1.0,9.0,46,28.3,80.45,1.749
BANANAUSDT,HID_BEAR,1.0,4.0,120,60.0,228.78,1.907
BATUSDT,HID_BULL,1.0,10.0,46,28.3,93.45,2.032
BARDUSDT,HID_BULL,2.0,6.0,51,45.1,107.92,2.116
BBUSDT,HID_BEAR,1.0,1.5,144,56.9,50.98,0.354
BANDUSDT,HID_BEAR,2.0,4.0,73,27.4,23.46,0.321
BARDUSDT,HID_BULL,2.0,7.0,51,45.1,130.92,2.567
BANANAUSDT,HID_BEAR,1.0,5.0,120,52.5,246.78,2.057
BARDUSDT,HID_BULL,2.0,8.0,51,41.2,135.92,2.665
BBUSDT,HID_BEAR,1.0,2.0,144,54.2,79.98,0.555
BARDUSDT,HID_BULL,2.0,9.0,51,29.4,96.92,1.9
BATUSDT,HID_BULL,1.5,4.0,46,43.5,51.63,1.122
BANANAUSDT,HID_BEAR,1.0,6.0,120,52.5,309.78,2.582
BEAMUSDT,REG_BEAR,2.0,1.5,47,59.6,21.28,0.453
BARDUSDT,HID_BULL,2.0,10.0,51,27.5,100.92,1.979
BATUSDT,HID_BULL,1.5,5.0,46,43.5,71.63,1.557
BATUSDT,HID_BULL,1.5,6.0,46,43.5,91.63,1.992
BBUSDT,HID_BEAR,1.0,3.0,144,45.8,109.98,0.764
BATUSDT,HID_BULL,1.5,7.0,46,43.5,111.63,2.427
BANANAUSDT,HID_BEAR,1.0,7.0,120,52.5,372.78,3.107
BATUSDT,HID_BULL,1.5,8.0,46,41.3,122.63,2.666
BATUSDT,HID_BULL,1.5,9.0,46,41.3,141.63,3.079
BANANAUSDT,HID_BEAR,1.0,8.0,120,52.5,435.78,3.632
BBUSDT,HID_BEAR,1.0,4.0,144,44.4,165.98,1.153
BATUSDT,HID_BULL,1.5,10.0,46,41.3,160.63,3.492
BATUSDT,HID_BULL,2.0,1.5,46,50.0,9.73,0.211
BANANAUSDT,HID_BEAR,1.0,9.0,120,52.5,498.78,4.157
BATUSDT,HID_BULL,2.0,2.0,46,50.0,21.23,0.461
BATUSDT,HID_BULL,2.0,3.0,46,50.0,44.23,0.961
BBUSDT,HID_BEAR,1.0,5.0,144,43.8,223.98,1.555
BATUSDT,HID_BULL,2.0,4.0,46,50.0,67.23,1.461
BANANAUSDT,HID_BEAR,1.0,10.0,120,52.5,561.78,4.682
BATUSDT,HID_BULL,2.0,5.0,46,50.0,90.23,1.961
BATUSDT,HID_BULL,2.0,6.0,46,47.8,106.23,2.309
BBUSDT,HID_BEAR,1.0,6.0,144,43.1,279.98,1.944
BANANAUSDT,HID_BEAR,1.5,1.5,120,75.8,100.02,0.834
BATUSDT,HID_BULL,2.0,7.0,46,47.8,128.23,2.788
BELUSDT,HID_BULL,1.0,4.0,30,33.3,18.47,0.616
BATUSDT,HID_BULL,2.0,8.0,46,47.8,150.23,3.266
BELUSDT,HID_BULL,1.0,5.0,30,33.3,28.47,0.949
BANANAUSDT,HID_BEAR,1.5,2.0,120,73.3,136.52,1.138
BELUSDT,HID_BULL,1.0,6.0,30,33.3,38.47,1.282
BATUSDT,HID_BULL,2.0,9.0,46,47.8,172.23,3.744
BBUSDT,HID_BEAR,1.0,7.0,144,39.6,301.98,2.097
BELUSDT,HID_BULL,1.0,7.0,30,33.3,48.47,1.616
BATUSDT,HID_BULL,2.0,10.0,43,44.2,164.29,3.821
BELUSDT,HID_BULL,1.0,8.0,30,33.3,58.47,1.949
BELUSDT,HID_BULL,1.0,9.0,30,33.3,68.47,2.282
BANANAUSDT,HID_BEAR,1.5,3.0,120,64.2,180.52,1.504
BELUSDT,HID_BULL,1.0,10.0,30,33.3,78.47,2.616
BBUSDT,HID_BEAR,1.0,8.0,144,38.2,340.98,2.368
BELUSDT,HID_BULL,1.5,1.5,30,60.0,13.98,0.466
BELUSDT,HID_BULL,1.5,2.0,30,53.3,16.98,0.566
BANANAUSDT,HID_BEAR,1.5,4.0,120,64.2,257.52,2.146
BELUSDT,HID_BULL,1.5,3.0,30,50.0,28.98,0.966
BELUSDT,HID_BULL,1.5,4.0,30,50.0,43.98,1.466
BBUSDT,HID_BEAR,1.0,9.0,144,38.2,395.98,2.75
BELUSDT,HID_BULL,1.5,5.0,30,50.0,58.98,1.966
BANANAUSDT,HID_BEAR,1.5,5.0,120,63.3,328.52,2.738
BELUSDT,HID_BULL,1.5,6.0,30,50.0,73.98,2.466
BELUSDT,HID_BULL,1.5,7.0,30,46.7,80.98,2.699
BELUSDT,HID_BULL,1.5,8.0,30,43.3,85.98,2.866
BANANAUSDT,HID_BEAR,1.5,6.0,120,63.3,404.52,3.371
BBUSDT,HID_BEAR,1.0,10.0,144,38.2,450.98,3.132
BELUSDT,HID_BULL,1.5,9.0,30,43.3,98.98,3.299
BELUSDT,HID_BULL,1.5,10.0,30,40.0,100.98,3.366
BELUSDT,HID_BULL,2.0,1.5,30,60.0,14.23,0.474
BANANAUSDT,HID_BEAR,1.5,7.0,120,59.2,440.52,3.671
BELUSDT,HID_BULL,2.0,2.0,30,53.3,17.23,0.574
BBUSDT,HID_BEAR,1.5,1.5,144,60.4,66.82,0.464
BELUSDT,HID_BULL,2.0,3.0,30,53.3,33.23,1.108
BELUSDT,HID_BULL,2.0,4.0,30,53.3,49.23,1.641
