symbol,div_type,atr,rr,avg_r_per_trade,source,tier,test_trades_norm
USTCUSDT,REG_BULL,1.0,10.0,1.68625,bear_tested,1,8
USUALUSDT,HID_BEAR,1.5,4.0,0.25842105263157894,bear_tested,1,19
VANAUSDT,REG_BULL,1.0,10.0,1.0939999999999999,bull_tested,1,5
VELOUSDT,HID_BEAR,1.0,8.0,1.4757142857142855,bull_tested,1,21
VETUSDT,HID_BEAR,1.5,8.0,0.61,bear_tested,1,16
VETUSDT,HID_BULL,2.0,10.0,0.318125,bull_tested,1,16
VINEUSDT,HID_BULL,1.0,10.0,2.5683333333333334,bear_tested,1,6
VINEUSDT,REG_BEAR,1.5,7.0,0.9325,bear_tested,1,8
VIRTUALUSDT,HID_BULL,2.0,10.0,0.43,bull_tested,1,15
VIRTUALUSDT,REG_BEAR,1.0,7.0,0.6371428571428571,bear_tested,1,14
VVVUSDT,HID_BEAR,2.0,9.0,0.31772727272727275,bull_tested,1,22
VVVUSDT,HID_BULL,2.0,7.0,3.242,bear_tested,1,15
WALUSDT,HID_BEAR,1.0,8.0,0.4033333333333333,bull_tested,1,6
WALUSDT,REG_BULL,1.5,4.0,0.37,bear_tested,1,7
WAVESUSDT,HID_BEAR,2.0,8.0,0.5223529411764707,bear_tested,1,17
WAVESUSDT,HID_BULL,2.0,10.0,0.6207692307692307,bull_tested,1,13
WAXPUSDT,REG_BULL,1.5,8.0,0.4166666666666667,bull_tested,1,6
WCTUSDT,HID_BEAR,2.0,9.0,0.7194117647058824,bear_tested,1,17
WIFUSDT,HID_BEAR,1.0,5.0,0.3383687943262411,all_weather,0,141
WIFUSDT,REG_BULL,1.0,2.0,0.43625,bull_tested,1,8
WLDUSDT,HID_BULL,1.0,7.0,1.1871428571428573,bear_tested,1,7
WLDUSDT,REG_BEAR,1.0,4.0,0.5493258426966292,all_weather,0,89
WLFIUSDT,HID_BEAR,1.5,6.0,0.5144444444444445,bear_tested,1,9
WOOUSDT,REG_BEAR,1.5,8.0,0.5736363636363636,all_weather,0,66
XAIUSDT,HID_BULL,1.5,10.0,1.5358823529411765,bull_tested,1,17
XAIUSDT,REG_BEAR,2.0,10.0,2.0885714285714285,bull_tested,1,7
XAUTUSDT,REG_BULL,2.0,10.0,3.4514285714285715,bear_tested,1,7
XCNUSDT,HID_BULL,2.0,10.0,0.7966666666666667,bull_tested,1,6
XCNUSDT,REG_BEAR,2.0,9.0,0.38,bear_tested,1,7
XDCUSDT,HID_BULL,2.0,2.0,0.3161538461538462,bull_tested,1,13
XDCUSDT,REG_BEAR,1.5,10.0,2.0442857142857145,bull_tested,1,7
XIONUSDT,HID_BEAR,1.0,10.0,0.3032258064516129,bear_tested,1,31
XLMUSDT,REG_BEAR,2.0,10.0,1.358888888888889,bear_tested,1,9
XPINUSDT,HID_BEAR,2.0,7.0,0.46375,bear_tested,1,16
XPLUSDT,HID_BEAR,1.5,10.0,0.7866666666666666,bear_tested,1,6
XRPUSDT,HID_BULL,2.0,10.0,5.5200000000000005,bear_tested,1,5
XTZUSDT,HID_BEAR,1.5,8.0,1.29,bear_tested,1,19
