Config,SL,Trail,Filter,Cooldown,N,WR,Total_R,Avg_R,PF,Status
ATR_1.5x|Trail_Medium_3R|Bearish_Only|CD10,ATR_1.5x,Trail_Medium_3R,Bearish_Only,10,3142,67.60025461489498,264.1294796757327,0.08406412465809443,1.2509670748400086,✅
Fixed_2%|Trail_Tight_3R|Hidden_Bearish|CD10,Fixed_2%,Trail_Tight_3R,Hidden_Bearish,10,1855,69.0566037735849,264.1033361273398,0.14237376610638264,1.4389263007151487,✅
ATR_2x|Trail_Medium_3R|All_Signals|CD15,ATR_2x,Trail_Medium_3R,All_Signals,15,4764,67.21242653232578,263.35024137928815,0.05527922782940557,1.1641627005143687,✅
Fixed_3%|Static_1:2|Hidden_Bearish|CD5,Fixed_3%,Static_1:2,Hidden_Bearish,5,2247,39.43035157988429,262.3776746935296,0.1167679905178147,1.1901614189500656,✅
ATR_1x|Trail_Tight|Hidden_Bearish|CD5,ATR_1x,Trail_Tight,Hidden_Bearish,5,2247,71.69559412550068,262.1462948505402,0.11666501773499786,1.394934382169239,✅
Fixed_3%|Trail_Medium_3R|Hidden_Bearish|CD5,Fixed_3%,Trail_Medium_3R,Hidden_Bearish,5,2247,66.88918558077437,260.0859442885791,0.11574808379554033,1.3426021735983371,✅
ATR_2x|Static_1:4|Hidden_Only|CD10,ATR_2x,Static_1:4,Hidden_Only,10,3369,28.554467200949833,258.11455316727285,0.07661458983890557,1.1056696312378702,✅
ATR_1.5x|Trail_Tight_3R|Hidden_Only|CD15,ATR_1.5x,Trail_Tight_3R,Hidden_Only,15,3137,72.93592604399107,256.0460811294059,0.08162132009225562,1.2904650890480756,✅
ATR_2x|Trail_Loose|Bearish_Only|CD5,ATR_2x,Trail_Loose,Bearish_Only,5,3805,62.1287779237845,255.636863758179,0.06718445828073036,1.1724623017056168,✅
Fixed_2%|Static_1:4|Hidden_Bearish|CD10,Fixed_2%,Static_1:4,Hidden_Bearish,10,1855,25.71428571428571,254.8983368570352,0.13741150234880603,1.177147239117861,✅
ATR_1x|Static_1:4|All_Signals|CD15,ATR_1x,Static_1:4,All_Signals,15,4764,25.419815281276236,254.67829660854503,0.05345892036283481,1.0690041534686083,✅
ATR_1.5x|Static_1:3|Bearish_Only|CD15,ATR_1.5x,Static_1:3,Bearish_Only,15,2879,30.28829454671761,252.3529184893938,0.08765297620333234,1.1218404433118698,✅
Fixed_3%|Static_1:4|Hidden_Only|CD10,Fixed_3%,Static_1:4,Hidden_Only,10,3369,29.741763134461262,250.98529465978217,0.0744984549301817,1.1054140406426645,✅
ATR_1.5x|Trail_Medium|Bearish_Only|CD10,ATR_1.5x,Trail_Medium,Bearish_Only,10,3142,67.60025461489498,247.3133572668072,0.0787120806068769,1.2349889528359808,✅
ATR_1.5x|Trail_Medium_3R|Hidden_Only|CD5,ATR_1.5x,Trail_Medium_3R,Hidden_Only,5,4203,65.31049250535332,245.92304333092986,0.05851131176086839,1.1629710036443446,✅
ATR_2x|Trail_Tight_3R|Bearish_Only|CD15,ATR_2x,Trail_Tight_3R,Bearish_Only,15,2879,76.03334491142758,243.0923239955171,0.08443637512869645,1.3413339679519847,✅
Fixed_3%|Static_1:4|Hidden_Only|CD5,Fixed_3%,Static_1:4,Hidden_Only,5,4203,29.050678087080655,242.48557782734576,0.05769345177904967,1.0808644309192799,✅
ATR_1.5x|Trail_Tight|Hidden_Only|CD15,ATR_1.5x,Trail_Tight,Hidden_Only,15,3137,72.93592604399107,241.2506803593,0.07690490288788651,1.2736808157515094,✅
ATR_1x|Trail_Medium_3R|Hidden_Bearish|CD5,ATR_1x,Trail_Medium_3R,Hidden_Bearish,5,2247,65.55407209612817,241.17903010847712,0.10733379177057281,1.2989477105292493,✅
ATR_2x|Trail_Medium|All_Signals|CD15,ATR_2x,Trail_Medium,All_Signals,15,4764,67.21242653232578,240.16934336737572,0.050413380219852165,1.149712594837409,✅
ATR_2x|Trail_Loose|All_Signals|CD5,ATR_2x,Trail_Loose,All_Signals,5,7017,59.98289867464729,239.045459640174,0.03406661816163232,1.082865617467483,✅
ATR_2x|Static_1:3|Hidden_Bearish|CD5,ATR_2x,Static_1:3,Hidden_Bearish,5,2247,31.59768580329328,238.70587535111548,0.10623314434851601,1.1522818193931867,✅
ATR_2x|Trail_Tight|Bearish_Only|CD15,ATR_2x,Trail_Tight,Bearish_Only,15,2879,76.03334491142758,237.21025980356671,0.08239328232148896,1.3330747671784398,✅
ATR_1x|Static_1:4|Hidden_Bearish|CD10,ATR_1x,Static_1:4,Hidden_Bearish,10,1855,25.60646900269542,236.88491389105928,0.12770076220542279,1.1650924029447152,✅
Fixed_3%|Trail_Loose|All_Signals|CD15,Fixed_3%,Trail_Loose,All_Signals,15,4764,59.109991603694375,235.5891799545035,0.04945196892411912,1.1190395165117872,✅
Fixed_2%|Trail_Medium|Hidden_Only|CD10,Fixed_2%,Trail_Medium,Hidden_Only,10,3369,62.12525972098546,235.2834180837704,0.06983776137838243,1.1763332010382075,✅
Fixed_2%|Trail_Medium|Hidden_Bearish|CD5,Fixed_2%,Trail_Medium,Hidden_Bearish,5,2247,63.951935914552735,233.28216913658693,0.10381938991392387,1.2751807727414595,✅
Fixed_3%|Trail_Medium|Hidden_Only|CD15,Fixed_3%,Trail_Medium,Hidden_Only,15,3137,65.12591648071407,232.06317367601193,0.07397614717118646,1.2094077666440475,✅
ATR_2x|Static_1:3|Hidden_Only|CD5,ATR_2x,Static_1:3,Hidden_Only,5,4203,30.692362598144186,230.6793199958299,0.05488444444345227,1.0778583757982891,✅
Fixed_3%|Trail_Medium|Hidden_Bearish|CD5,Fixed_3%,Trail_Medium,Hidden_Bearish,5,2247,66.88918558077437,228.20964440764376,0.1015619245249861,1.300612631813013,✅
ATR_1x|Trail_Loose|Bearish_Only|CD15,ATR_1x,Trail_Loose,Bearish_Only,15,2879,60.472386245224044,228.0004834451012,0.07919433256168851,1.1923587899302563,✅
ATR_2x|Static_1:4|Hidden_Bearish|CD15,ATR_2x,Static_1:4,Hidden_Bearish,15,1756,28.815489749430522,227.95310883678152,0.12981384330112844,1.179305610709853,✅
Fixed_3%|Trail_Loose|Bearish_Only|CD15,Fixed_3%,Trail_Loose,Bearish_Only,15,2879,60.472386245224044,226.11160824355173,0.07853824530863207,1.1957833489960379,✅
Fixed_2%|Static_1:3|Bearish_Only|CD15,Fixed_2%,Static_1:3,Bearish_Only,15,2879,29.697811740187564,225.30994443133056,0.07825979313349446,1.1065462232668268,✅
Fixed_3%|Trail_Loose|Hidden_Only|CD5,Fixed_3%,Trail_Loose,Hidden_Only,5,4203,58.553414227932436,224.10521504773354,0.053320298607597794,1.1267022955447035,✅
ATR_2x|Trail_Tight_3R|Hidden_Only|CD10,ATR_2x,Trail_Tight_3R,Hidden_Only,10,3369,74.59186702285545,223.74192163508877,0.06641196842834336,1.253373755299997,✅
Fixed_3%|Trail_Tight_3R|Hidden_Bearish|CD10,Fixed_3%,Trail_Tight_3R,Hidden_Bearish,10,1855,73.8544474393531,223.03406825247373,0.12023399905793732,1.4533836915844398,✅
Fixed_2%|Trail_Tight|Hidden_Bearish|CD10,Fixed_2%,Trail_Tight,Hidden_Bearish,10,1855,69.0566037735849,221.96153861080856,0.11965581596270003,1.368888778430695,✅
ATR_1x|Trail_Medium|Hidden_Only|CD10,ATR_1x,Trail_Medium,Hidden_Only,10,3369,64.2920747996438,220.71769105260458,0.06551430426019726,1.1763233734364071,✅
ATR_1x|Trail_Medium_3R|Hidden_Only|CD15,ATR_1x,Trail_Medium_3R,Hidden_Only,15,3137,63.94644564870896,220.53590166097973,0.07030153065380292,1.187558250057511,✅
ATR_1x|Trail_Tight_3R|Hidden_Bearish|CD10,ATR_1x,Trail_Tight_3R,Hidden_Bearish,10,1855,71.21293800539084,220.50681881941884,0.11887160044173523,1.395624468639226,✅
